Source,Link,Title,Content
Waterford Business Supports Hub,businesssupportshub/index.htm,Waterford Business Supports Hub,"Business Helpline Now Open - Call us on Lo-Call 0761 10 2905 or Email us at business@waterfordcouncil.ie
Find out more ...
Find out more ... 2023 
	  Waterford City & County Council is not responsible for the information on third party websites.  "
Waterford City & County Council,council/about-us.htm,Waterford City & County Council : About The Council,"Establishment of the Organisation
   
      Waterford City and County Council (Comhairle Cathrach agus Contae Phort Lairge) is the authority responsible for local government in the City & County of Waterford, Ireland.
The organisation came into operation on 1st June 2014 after that year's local elections, and is a merger of Waterford City Council and Waterford County Council, as brought about under the provisions of the Local Government Reform Act 2014.  Information on the roles, responsibilities and functions of the organisation can be found here.Our Mission Statement
   
     Our mission is to make Waterford the best possible place for all its people and for those that wish to live, visit, work or invest here. 
Administration of the Organisation
   
      The City and County administration is headed by a Chief Executive, Michael Walsh. The corporate headquarters are based in City Hall, The Mall, Waterford.  The organisation has 850 staff as of April 2016.Mayor

Councillor Joe Conway (Ind) is the current Mayor of the City and County of Waterford.  He was elected to the position at the annual meeting of Waterford City and County Council in June 2023.
To contact the mayor, please email mayor@waterfordcouncil.ie Governance arrangements
   
     Waterford City & County Council has a Council of 32 elected members.  Day to day management of the organisation is carried out by over 850 staff under the leadership of a management team.Both the Senior Management Team and the Elected Members are ""Designated Public Officals"" under the Regulation of Lobbying Act 2015.Corporate Plans and Strategies

Policy Documents

Customer Charters & Code of Conduct

Protected Disclosures


"
Waterford City & County Council,council/comeragh.htm,Waterford City & County Council : Comeragh District Council,"The Comeragh District Council is that constituent part of Waterford City & County Council, which represents the Comeragh area. There are 5 local councillors (elected representatives) for this district, who for voting purposes, appear in the Portlaw-Kilmacthomas constituency. Regular meetings are scheduled for the third Wednesday of every month (except August). The venue for these meetings is the Council Chamber, Civic Offices, Dungarvan. The current Cathaoirleach of the Dungarvan/Lismore district is  Current Councillor Se·nie Power. Current Councillor John O'Leary is Leas Cathaoirleach.
"
Waterford City & County Council,council/councillors/comeragh/dclune.htm,Waterford City & County Council :  Current Councillor Declan Clune,"
Councillor DECLAN CLUNE
			Independent
		E-Mail: cllrdclune@waterfordcouncil.ie

        Mobile: 086 0555007

Address: Ballycahane, Portlaw, Co.Waterford
"
Waterford City & County Council,council/councillors/comeragh/joleary.htm,Waterford City & County Council :  Current Councillor John O'Leary,"
Councillor JOHN O'LEARY
			Fianna F·il

		E-Mail: cllrjoleary@waterfordcouncil.ie

        Mobile: 087 2154519

Address: Blacknock, Kilmeaden, Co.Waterford
"
Waterford City & County Council,council/councillors/comeragh/lbrazil.htm,Waterford City & County Council :  Current Councillor Liam Brazil,"
Councillor LIAM BRAZIL
			Fine Gael

"
Waterford City & County Council,council/councillors/comeragh/spower.htm,Waterford City & County Council :  Current Councillor Se·nie Power,"
Councillor SE¡NIE POWER
			Fine Gael

"
Waterford City & County Council,council/councillors/dungarvan-lismore/cdmcguinness.htm,Waterford City & County Council :  Current Councillor Conor D. McGuinness,"
Councillor CONOR D. McGUINNESS
Sinn FÈin
 Current Councillor McGuinness was elected to Waterford City & County Council in the Local Elections of May 2019.Address: An LÈith, Rinn ua gCuanach, D√É ∫n Garbh·n, Co. Phort L·irge.
"
Waterford City & County Council,council/councillors/dungarvan-lismore/ddoocey.htm,Waterford City & County Council :  Current Councillor Declan Doocey,"
Councillor DECLAN DOOCEY
			Fine Gael
		E-Mail: cllrddoocey@waterfordcouncil.ie
Telephone: 058 53020
        Mobile: 087 2547715

Address: Ballynaraha, Lismore, Co.Waterford.


"
Waterford City & County Council,council/councillors/dungarvan-lismore/dgeoghegan.htm,Waterford City & County Council :  Current Councillor Damien Geoghegan,"
Councillor DAMIEN GEOGHEGAN
		Fine Gael
		E-Mail: cllrdgeoghegan@waterfordcouncil.ie

        Mobile: 086 3177898

Address: 64 Silversprings, Dungarvan, Co. Waterford.


"
Waterford City & County Council,council/councillors/dungarvan-lismore/jpratt.htm,Waterford City & County Council :  Current Councillor John Pratt,"
Councillor JOHN PRATT
			The Labour Party
		E-Mail: cllrjpratt@waterfordcouncil.ie

        Mobile: 087 7692960

Address: 49 Woodview Park, Tallow, Co.Waterford.

"
Waterford City & County Council,council/councillors/dungarvan-lismore/mtobin.htm,Waterford City & County Council :  Current Councillor MairÈad Tobin,"
Councillor MAIR…AD TOBIN
			Fianna F·il
		E-Mail:  cllrmtobin@waterfordcouncil.ie

        Mobile: 087  1990756

"
Waterford City & County Council,council/councillors/dungarvan-lismore/pnugent.htm,Waterford City & County Council :  Current Councillor Pat Nugent,"
Councillor PAT NUGENT
			Fine Gael
		E-Mail: cllrpnugent@waterfordcouncil.ie

        Mobile: 087 2759991

Address: Carrigroe, Dungarvan, Co.Waterford.

"
